Cam Newton Car,QB,Thu 7:30 pm @ Den,EanTop/WillisBottom,16.0,7,350.96,100%,1,,3815,27.3,11.3,119,620,5.8,0.0,0.0,0.0,0.0,0.0,0.9,4.8 
Aaron Rodgers GB,QB,Sun 12:00 pm @ Jax,TexasSucks,16.0,4,319.58,100%,2,,4388,29.4,10.1,47.5,224,1.9,0.0,0.0,0.0,0.0,0.0,0.8,4.1 
Andrew Luck Ind,QB,Sun 3:25 pm vs Det,Chaz's Crazy Team,16.0,10,318.87,100%,3,,4236,31.6,17.1,57.2,279,1.5,0.0,0.0,0.0,0.0,0.0,0.9,4.4 
Drew Brees NO,QB,Sun 12:00 pm vs Oak,Angry Handies,16.0,5,317.71,100%,4,,4833,31.8,14.0,21.6,30.9,0.7,0.0,0.0,0.0,0.0,0.0,0.9,5.3 
Russell Wilson Sea,QB,Sun 3:05 pm vs Mia,Mariota Kart,16.0,5,317.27,100%,5,,3849,27.0,10.1,87.1,431,3.2,0.0,0.0,0.0,0.0,0.0,0.8,4.2 
Ben Roethlisberger Pit,QB,Mon 6:10 pm @ Was,A Little Willly Pete,16.0,8,312.13,100%,6,,4717,30.3,13.9,26.4,64.3,1.1,0.0,0.0,0.0,0.0,0.0,0.8,4.0 
Eli Manning NYG,QB,Sun 3:25 pm @ Dal,Le'Veon a Prayer,16.0,8,302.76,97%,7,,4632,30.1,13.6,16.5,46.2,0.5,0.0,0.0,0.0,0.0,0.0,0.8,4.3 
Andy Dalton Cin,QB,Sun 12:00 pm @ NYJ,Angry Handies,16.0,9,296.61,87%,8,,4047,28.1,10.4,54.3,192,1.7,0.0,0.0,0.0,0.0,0.0,0.8,4.0 
Carson Palmer Ari,QB,Sun 7:30 pm vs NE,Björk'sPlatnumAlbum,16.0,9,295.71,99%,9,,4456,29.8,12.9,26.6,26.2,0.9,0.0,0.0,0.0,0.0,0.0,0.8,4.3 
Matthew Stafford Det,QB,Sun 3:25 pm @ Ind,FA,16.0,10,295.04,79%,10,,4362,27.7,12.6,32.8,134,1.0,0.0,0.0,0.0,0.0,0.0,0.8,4.2 
Blake Bortles Jax,QB,Sun 12:00 pm vs GB,T.M.N. Bortles,16.0,5,294.50,96%,11,,4010,28.1,15.0,48.7,228,1.8,0.0,0.0,0.0,0.0,0.0,0.8,3.9 
Kirk Cousins Was,QB,Mon 6:10 pm vs Pit,FA,16.0,9,292.27,90%,12,,4474,27.8,12.7,34.2,71.3,0.8,0.0,0.0,0.0,0.0,0.0,0.8,4.3 
Philip Rivers SD,QB,Sun 12:00 pm @ KC,SlobOnMyCobb,16.0,11,292.13,95%,13,,4577,28.9,13.9,12.5,24.7,0.3,0.0,0.0,0.0,0.0,0.0,0.8,4.7 
Derek Carr Oak,QB,Sun 12:00 pm @ NO,EanTop/WillisBottom,16.0,10,287.70,88%,14,,4054,29.7,14.1,30.1,122,0.9,0.0,0.0,0.0,0.0,0.0,0.8,4.6 
Ryan Fitzpatrick NYJ,QB,Sun 12:00 pm vs Cin,FA,16.0,11,280.61,38%,15,,4003,26.1,15.2,44.5,183,1.7,0.0,0.0,0.0,0.0,0.0,0.7,4.2 
Jameis Winston TB,QB,Sun 12:00 pm @ Atl,Björk'sPlatnumAlbum,16.0,6,279.12,82%,16,,3997,24.5,14.1,54.2,217,1.7,0.0,0.0,0.0,0.0,0.0,0.7,4.3 
Tyrod Taylor Buf,QB,Sun 12:00 pm @ Bal,A Little Willly Pete,16.0,10,278.51,85%,17,,3337,19.8,11.2,102,498,4.1,0.0,0.0,0.0,0.0,0.0,0.6,3.9 
Marcus Mariota Ten,QB,Sun 12:00 pm vs Min,ChrisCartersFallGuys,16.0,13,274.96,74%,18,,3800,21.2,14.3,67.2,378,2.0,0.0,0.0,0.0,0.0,0.0,0.6,4.0 
Matt Ryan Atl,QB,Sun 12:00 pm vs TB,T.M.N. Bortles,16.0,11,273.09,66%,19,,4579,22.1,15.9,31.0,82.7,1.0,0.0,0.0,0.0,0.0,0.0,0.6,5.2 
Ryan Tannehill Mia,QB,Sun 3:05 pm @ Sea,Chaz's Crazy Team,16.0,8,272.17,36%,20,,4058,24.3,13.3,38.8,157,1.3,0.0,0.0,0.0,0.0,0.0,0.7,4.3 
Brock Osweiler Hou,QB,Sun 12:00 pm vs Chi,FA,16.0,9,269.83,27%,21,,3964,24.1,11.7,51.5,134,1.8,0.0,0.0,0.0,0.0,0.0,0.7,4.1 
Jay Cutler Chi,QB,Sun 12:00 pm @ Hou,SlobOnMyCobb,16.0,9,264.80,18%,22,,4022,22.3,11.6,35.1,160,1.3,0.0,0.0,0.0,0.0,0.0,0.6,3.9 
Alex Smith KC,QB,Sun 12:00 pm vs SD,FA,16.0,5,262.61,20%,23,,3535,18.7,9.6,73.8,395,2.3,0.0,0.0,0.0,0.0,0.0,0.6,4.3 
Antonio Brown Pit,WR,Mon 6:10 pm @ Was,Angry Handies,16.0,8,258.42,100%,24,,0.0,0.0,0.0,3.9,22.3,0.1,189,133,1860,11.1,0.4,0.3,0.8 
Joe Flacco Bal,QB,Sun 12:00 pm vs Buf,FA,16.0,8,257.88,17%,25,,4173,24.8,17.1,18.0,32.5,0.5,0.0,0.0,0.0,0.0,0.0,0.7,4.4 
Robert Griffin III Cle,QB,Sun 12:00 pm @ Phi,FA,16.0,13,245.45,26%,26,,3200,18.7,9.7,66.8,363,2.3,0.0,0.0,0.0,0.0,0.0,0.6,3.2 
Tom Brady NE,QB,Sun 7:30 pm @ Ari,All A'Bortles,12.0,9,237.31,98%,27,,3443,24.6,8.5,26.7,37.6,0.6,0.0,0.0,0.0,0.0,0.0,0.7,3.3 
Blaine Gabbert SF,QB,Mon 9:20 pm vs LA,FA,16.0,8,233.96,3%,28,,3498,17.3,11.8,52.4,235,1.8,0.0,0.0,0.0,0.0,0.0,0.5,4.2 
Adrian Peterson Min,RB,Sun 12:00 pm @ Ten,SlobOnMyCobb,16.0,6,231.56,100%,31,,0.0,0.0,0.0,313,1428,10.4,30.8,27.6,200,0.8,0.0,0.3,2.3 
Sam Bradford Phi,QB,Sun 12:00 pm vs Cle,FA,16.0,4,230.29,8%,29,,3648,22.3,13.1,18.3,26.9,0.5,0.0,0.0,0.0,0.0,0.0,0.6,3.6 
David Johnson Ari,RB,Sun 7:30 pm vs NE,TexasSucks,16.0,9,229.82,100%,30,,0.0,0.0,0.0,265,1114,7.7,72.3,49.4,511,3.3,0.0,0.3,2.2 
Julio Jones Atl,WR,Sun 12:00 pm vs TB,Björk'sPlatnumAlbum,16.0,11,226.16,100%,32,,0.0,0.0,0.0,0.0,0.0,0.0,183,127,1765,8.2,0.0,0.2,1.0 
Todd Gurley LA,RB,Mon 9:20 pm @ SF,Björk'sPlatnumAlbum,16.0,8,223.68,100%,33,,0.0,0.0,0.0,313,1354,9.2,41.4,32.7,257,1.0,0.0,0.3,2.4 
Odell Beckham Jr. NYG,WR,Sun 3:25 pm @ Dal,T.M.N. Bortles,16.0,8,211.50,100%,34,,0.0,0.0,0.0,0.0,0.0,0.0,162,101,1518,9.8,0.0,0.2,0.7 
Lamar Miller Hou,RB,Sun 12:00 pm vs Chi,A Little Willly Pete,16.0,9,207.57,100%,35,,0.0,0.0,0.0,268,1189,7.0,52.2,44.9,346,1.8,0.0,0.2,2.0 
Ezekiel Elliott Dal,RB,Sun 3:25 pm vs NYG,FA,16.0,7,205.56,100%,36,,0.0,0.0,0.0,247,1036,7.8,57.7,45.9,386,2.6,0.0,0.3,2.0 
Jamaal Charles KC,RB,Sun 12:00 pm vs SD,Björk'sPlatnumAlbum,16.0,5,205.26,100%,37,,0.0,0.0,0.0,227,1126,7.5,58.3,44.4,346,2.0,0.0,0.3,1.9 
Devonta Freeman Atl,RB,Sun 12:00 pm vs TB,Le'Veon a Prayer,16.0,11,205.25,100%,38,,0.0,0.0,0.0,226,909,6.2,91.4,71.2,587,2.9,0.0,0.2,2.3 
Shaun Hill Min,QB,Sun 12:00 pm @ Ten,FA,16.0,6,201.68,1%,98,,3253,17.1,10.1,17.7,71.5,0.6,0.0,0.0,0.0,0.0,0.0,0.5,3.7 
LeSean McCoy Buf,RB,Sun 12:00 pm @ Bal,Chaz's Crazy Team,16.0,10,200.31,99%,39,,0.0,0.0,0.0,258,1057,8.1,56.3,39.2,324,2.0,0.0,0.3,2.0 
Mark Ingram NO,RB,Sun 12:00 pm vs Oak,FA,16.0,5,197.06,100%,40,,0.0,0.0,0.0,238,976,7.3,54.0,46.2,414,2.2,0.0,0.3,2.2 
DeAndre Hopkins Hou,WR,Sun 12:00 pm vs Chi,All A'Bortles,16.0,9,192.62,100%,41,,0.0,0.0,0.0,0.0,0.0,0.0,167,99.7,1392,8.8,0.0,0.2,0.6 
Doug Martin TB,RB,Sun 12:00 pm @ Atl,A Little Willly Pete,16.0,6,190.41,100%,42,,0.0,0.0,0.0,271,1159,7.0,35.1,27.7,243,1.2,0.0,0.2,2.1 
A.J. Green Cin,WR,Sun 12:00 pm @ NYJ,A Little Willly Pete,16.0,9,185.60,100%,43,,0.0,0.0,0.0,0.0,0.0,0.0,131,90.7,1357,8.2,0.0,0.2,0.6 
Eddie Lacy GB,RB,Sun 12:00 pm @ Jax,A Little Willly Pete,16.0,4,184.58,100%,44,,0.0,0.0,0.0,240,1053,7.6,36.9,29.0,240,1.4,0.0,0.2,1.7 
Dez Bryant Dal,WR,Sun 3:25 pm vs NYG,Le'Veon a Prayer,16.0,7,184.36,100%,45,,0.0,0.0,0.0,0.0,0.0,0.0,145,89.6,1287,9.2,0.0,0.2,0.6 
Alshon Jeffery Chi,WR,Sun 12:00 pm @ Hou,SlobOnMyCobb,16.0,9,182.68,100%,46,,0.0,0.0,0.0,0.0,0.0,0.0,151,89.6,1352,7.8,0.0,0.2,0.6 
Brandon Marshall NYJ,WR,Sun 12:00 pm vs Cin,Mariota Kart,16.0,11,181.91,100%,47,,0.0,0.0,0.0,0.0,0.0,0.0,148,94.7,1299,8.6,0.0,0.2,0.6 
Case Keenum LA,QB,Mon 9:20 pm @ SF,FA,16.0,8,177.34,1%,48,,2970,13.3,12.5,31.6,93.6,1.1,0.0,0.0,0.0,0.0,0.0,0.4,3.6 
Allen Robinson Jax,WR,Sun 12:00 pm vs GB,A Little Willly Pete,16.0,5,176.51,100%,49,,0.0,0.0,0.0,0.0,0.0,0.0,138,77.5,1249,8.5,0.0,0.2,0.5 
Carlos Hyde SF,RB,Mon 9:20 pm vs LA,ChrisCartersFallGuys,16.0,8,174.69,98%,50,,0.0,0.0,0.0,263,1049,6.8,40.7,31.2,208,1.1,0.0,0.2,2.1 
Le'Veon Bell Pit,RB,Mon 6:10 pm @ Was,Angry Handies,13.0,8,174.33,100%,51,,0.0,0.0,0.0,205,905,5.1,51.2,47.9,427,1.6,0.0,0.2,1.5 
Mike Evans TB,WR,Sun 12:00 pm @ Atl,ChrisCartersFallGuys,16.0,6,172.60,100%,52,,0.0,0.0,0.0,0.0,0.0,0.0,156,79.0,1197,8.7,0.0,0.2,0.6 
Rob Gronkowski NE,TE,Sun 7:30 pm @ Ari,Chaz's Crazy Team,16.0,9,171.95,100%,53,,0.0,0.0,0.0,0.0,0.0,0.0,127,80.1,1171,9.0,0.0,0.2,0.5 
C.J. Anderson Den,RB,Thu 7:30 pm vs Car,A Little Willly Pete,16.0,11,171.68,99%,54,,0.0,0.0,0.0,248,1052,7.1,36.6,28.8,184,0.8,0.0,0.2,1.9 
Sammy Watkins Buf,WR,Sun 12:00 pm @ Bal,Björk'sPlatnumAlbum,16.0,10,168.81,99%,57,,0.0,0.0,0.0,0.0,0.0,0.0,120,77.9,1284,6.6,0.0,0.2,0.5 
Matt Forte NYJ,RB,Sun 12:00 pm vs Cin,All A'Bortles,16.0,11,168.61,98%,55,,0.0,0.0,0.0,220,890,6.4,49.2,37.5,302,1.7,0.0,0.2,1.6 
Jordy Nelson GB,WR,Sun 12:00 pm @ Jax,TexasSucks,16.0,4,167.52,100%,56,,0.0,0.0,0.0,0.0,0.0,0.0,122,81.6,1208,7.7,0.0,0.2,0.5 
Jonathan Stewart Car,RB,Thu 7:30 pm @ Den,SlobOnMyCobb,16.0,7,165.28,97%,58,,0.0,0.0,0.0,255,1037,6.9,23.7,20.5,145,0.8,0.0,0.2,2.0 
Jarvis Landry Mia,WR,Sun 3:05 pm @ Sea,A Little Willly Pete,16.0,8,165.21,98%,59,,0.0,0.0,0.0,19.6,96.9,0.5,139,96.4,1075,7.0,0.4,0.2,0.8 
Brandin Cooks NO,WR,Sun 12:00 pm vs Oak,Björk'sPlatnumAlbum,16.0,5,164.39,100%,60,,0.0,0.0,0.0,4.0,13.5,0.1,126,82.6,1161,7.6,0.1,0.2,0.7 
Keenan Allen SD,WR,Sun 12:00 pm @ KC,SlobOnMyCobb,16.0,11,159.25,100%,63,,0.0,0.0,0.0,0.0,0.0,0.0,131,99.6,1135,7.5,0.0,0.2,0.7 
Amari Cooper Oak,WR,Sun 12:00 pm @ NO,EanTop/WillisBottom,16.0,10,159.17,100%,62,,0.0,0.0,0.0,3.5,8.8,0.1,137,79.2,1091,8.0,0.0,0.2,0.6 
Trevor Siemian Den,QB,Thu 7:30 pm vs Car,FA,16.0,11,158.19,4%,64,,2723,13.9,15.4,16.6,42.1,0.5,0.0,0.0,0.0,0.0,0.0,0.4,3.5 
Dak Prescott Dal,QB,Sun 3:25 pm vs NYG,FA,16.0,7,158.05,53%,65,,1807,11.6,5.4,51.5,288,2.5,0.0,0.0,0.0,0.0,0.0,0.4,1.8 
Latavius Murray Oak,RB,Sun 12:00 pm @ NO,T.M.N. Bortles,16.0,10,157.81,98%,66,,0.0,0.0,0.0,228,913,5.3,41.5,34.0,239,1.6,0.0,0.2,1.8 
Ryan Mathews Phi,RB,Sun 12:00 pm vs Cle,ChrisCartersFallGuys,16.0,4,157.24,95%,67,,0.0,0.0,0.0,219,959,6.0,32.8,24.2,188,1.0,0.0,0.2,1.5 
Thomas Rawls Sea,RB,Sun 3:05 pm vs Mia,TexasSucks,16.0,5,155.89,98%,68,,0.0,0.0,0.0,217,980,6.1,26.6,21.2,145,1.0,0.0,0.2,1.7 
T.Y. Hilton Ind,WR,Sun 3:25 pm vs Det,Mariota Kart,16.0,10,155.35,99%,70,,0.0,0.0,0.0,3.5,22.4,0.1,128,71.2,1042,8.0,0.0,0.2,0.5 
Eric Decker NYJ,WR,Sun 12:00 pm vs Cin,Angry Handies,16.0,11,155.01,98%,72,,0.0,0.0,0.0,0.0,0.0,0.0,130,81.2,1072,7.5,0.4,0.2,0.5 
Randall Cobb GB,WR,Sun 12:00 pm @ Jax,EanTop/WillisBottom,16.0,4,154.16,99%,74,,0.0,0.0,0.0,11.6,47.2,0.3,122,77.3,1003,7.7,0.0,0.2,0.6 
Tony Romo Dal,QB,Sun 3:25 pm vs NYG,Le'Veon a Prayer,9.0,7,152.70,36%,75,,2188,16.2,6.2,12.1,36.6,0.2,0.0,0.0,0.0,0.0,0.0,0.4,2.4 
Golden Tate Det,WR,Sun 3:25 pm @ Ind,ChrisCartersFallGuys,16.0,10,152.43,98%,77,,0.0,0.0,0.0,7.4,37.6,0.2,118,87.5,1037,6.9,0.4,0.2,0.6 
LeGarrette Blount NE,RB,Sun 7:30 pm @ Ari,FA,16.0,9,152.36,76%,76,,0.0,0.0,0.0,249,1000,6.9,12.1,11.8,78.2,0.4,0.0,0.2,1.6 
Melvin Gordon SD,RB,Sun 12:00 pm @ KC,EanTop/WillisBottom,16.0,11,151.65,94%,79,,0.0,0.0,0.0,238,919,5.0,34.1,28.8,217,1.2,0.0,0.2,1.9 
Julian Edelman NE,WR,Sun 7:30 pm @ Ari,Le'Veon a Prayer,16.0,9,150.74,98%,80,,0.0,0.0,0.0,4.0,19.9,0.1,133,93.9,1023,7.5,0.0,0.2,0.6 
Rashad Jennings NYG,RB,Sun 3:25 pm @ Dal,FA,16.0,8,148.71,86%,82,,0.0,0.0,0.0,188,818,5.6,34.8,30.8,251,1.3,0.0,0.2,1.4 
Jeremy Maclin KC,WR,Sun 12:00 pm vs SD,TexasSucks,16.0,5,148.25,98%,84,,0.0,0.0,0.0,4.1,17.2,0.1,117,83.0,1111,5.7,0.0,0.1,0.6 
Matt Jones Was,RB,Mon 6:10 pm vs Pit,Le'Veon a Prayer,16.0,9,147.81,92%,83,,0.0,0.0,0.0,221,880,5.2,33.3,27.0,212,1.1,0.0,0.2,1.6 
Jeremy Langford Chi,RB,Sun 12:00 pm @ Hou,All A'Bortles,16.0,9,147.47,93%,85,,0.0,0.0,0.0,189,761,5.7,50.4,28.1,260,1.7,0.0,0.2,1.4 
Larry Fitzgerald Ari,WR,Sun 7:30 pm vs NE,SlobOnMyCobb,16.0,9,146.64,97%,86,,0.0,0.0,0.0,0.0,0.0,0.0,114,87.5,1015,7.4,0.0,0.2,0.6 
John Brown Ari,WR,Sun 7:30 pm vs NE,TexasSucks,16.0,9,145.59,93%,87,,0.0,0.0,0.0,4.3,21.4,0.1,103,67.0,1021,6.7,0.0,0.2,0.5 
Donte Moncrief Ind,WR,Sun 3:25 pm vs Det,All A'Bortles,16.0,10,145.46,97%,88,,0.0,0.0,0.0,0.0,0.0,0.0,117,74.7,1013,7.3,0.0,0.2,0.5 
Jordan Reed Was,TE,Mon 6:10 pm vs Pit,Angry Handies,16.0,9,144.89,100%,89,,0.0,0.0,0.0,0.0,0.0,0.0,117,89.9,994,7.5,0.0,0.2,0.6 
DeMarco Murray Ten,RB,Sun 12:00 pm vs Min,EanTop/WillisBottom,16.0,13,141.69,98%,92,,0.0,0.0,0.0,195,778,5.8,33.8,27.5,220,1.1,0.0,0.2,1.4 
Kelvin Benjamin Car,WR,Thu 7:30 pm @ Den,TexasSucks,16.0,7,141.34,97%,93,,0.0,0.0,0.0,0.0,0.0,0.0,114,68.6,968,7.3,0.0,0.2,0.5 
Giovani Bernard Cin,RB,Sun 12:00 pm @ NYJ,All A'Bortles,16.0,9,140.78,90%,94,,0.0,0.0,0.0,144,608,3.7,62.8,46.9,409,2.7,0.0,0.2,1.3 
Frank Gore Ind,RB,Sun 3:25 pm vs Det,T.M.N. Bortles,16.0,10,140.70,93%,95,,0.0,0.0,0.0,216,838,4.5,38.8,25.4,199,1.5,0.0,0.2,1.5 
Duke Johnson Jr. Cle,RB,Sun 12:00 pm @ Phi,Le'Veon a Prayer,16.0,13,137.98,86%,100,,0.0,0.0,0.0,142,557,3.8,64.1,54.4,446,2.3,0.0,0.2,1.2 
Jeremy Hill Cin,RB,Sun 12:00 pm @ NYJ,EanTop/WillisBottom,16.0,9,137.43,96%,101,,0.0,0.0,0.0,226,876,5.8,19.3,15.1,108,0.6,0.0,0.2,1.6 
Greg Olsen Car,TE,Thu 7:30 pm @ Den,EanTop/WillisBottom,16.0,7,136.91,100%,103,,0.0,0.0,0.0,0.0,0.0,0.0,104,68.4,948,6.9,0.0,0.2,0.5 
Jordan Matthews Phi,WR,Sun 12:00 pm vs Cle,All A'Bortles,16.0,4,136.50,95%,106,,0.0,0.0,0.0,0.0,0.0,0.0,115,81.0,985,6.3,0.0,0.2,0.5 
Arian Foster Mia,RB,Sun 3:05 pm @ Sea,FA,16.0,8,135.10,94%,113,,0.0,0.0,0.0,168,648,4.5,48.1,38.2,332,1.6,0.0,0.2,1.4 
Doug Baldwin Sea,WR,Sun 3:05 pm vs Mia,ChrisCartersFallGuys,16.0,5,134.38,99%,116,,0.0,0.0,0.0,0.0,0.0,0.0,93.0,71.5,956,6.3,0.1,0.2,0.5 
Michael Crabtree Oak,WR,Sun 12:00 pm @ NO,A Little Willly Pete,16.0,10,133.86,92%,117,,0.0,0.0,0.0,0.0,0.0,0.0,125,73.7,894,7.3,0.0,0.2,0.5 
Danny Woodhead SD,RB,Sun 12:00 pm @ KC,T.M.N. Bortles,16.0,11,133.24,79%,118,,0.0,0.0,0.0,104,399,2.2,79.5,64.7,599,3.2,0.1,0.1,1.2 
Michael Floyd Ari,WR,Sun 7:30 pm vs NE,Mariota Kart,16.0,9,133.15,96%,119,,0.0,0.0,0.0,0.0,0.0,0.0,98.1,57.6,946,6.3,0.0,0.2,0.4 
Ameer Abdullah Det,RB,Sun 3:25 pm @ Ind,All A'Bortles,16.0,10,131.88,76%,121,,0.0,0.0,0.0,163,693,4.2,44.6,31.9,254,1.7,0.2,0.2,1.2 
Coby Fleener NO,TE,Sun 12:00 pm vs Oak,FA,16.0,5,130.67,98%,123,,0.0,0.0,0.0,0.0,0.0,0.0,114,74.7,880,7.0,0.0,0.2,0.6 
